ts,env,dry_run,action,account_id,client_order_id,symbol,side,qty,order_type,limit_price,http_status,response
2026-07-09T00:19:41.989706+00:00,prod,True,PLACE,ROG00LK0LA8FBOUB8VDQ3IVI98,6d3e29ab2ac641b2add2d7924fd2f4ee,AAPL,BUY,1,LIMIT,250,,DRY-RUN (not sent)
2026-07-09T00:22:05.222577+00:00,paper,True,PLACE,PENDING-UAT-CREDS,919a37adb2f148708fb7daa1f99f63e2,UNH,BUY,23,MARKET,,,DRY-RUN (not sent)
2026-07-09T01:57:24.392771+00:00,paper,False,PLACE,J6HA4EBQRQFJD2J6NQH0F7M649,a2bfc814084e45f0942cb919afafc7ed,AAPL,BUY,1,LIMIT,250.53,200,"{""client_order_id"": ""a2bfc814084e45f0942cb919afafc7ed""}"
2026-07-09T01:57:30.727411+00:00,paper,False,CANCEL,J6HA4EBQRQFJD2J6NQH0F7M649,a2bfc814084e45f0942cb919afafc7ed,,,,,,200,"{""client_order_id"": ""a2bfc814084e45f0942cb919afafc7ed""}"
2026-07-09T01:57:56.252885+00:00,paper,False,PLACE,J6HA4EBQRQFJD2J6NQH0F7M649,cee4bd8a99134879a1cdd7a94ce2727f,UNH,BUY,23,MARKET,,417,"{""error"": ""{\""message\"":\""ORDER_RISK_RULE_NOTIONAL\"",\""error_code\"":\""ORDER_RISK_RULE_NOTIONAL\""}""}"
2026-07-09T01:58:33.904382+00:00,paper,False,PLACE,J6HA4EBQRQFJD2J6NQH0F7M649,f574a68d3455447bad47555f7c3f0654,UNH,BUY,23,LIMIT,340.0,417,"{""error"": ""{\""message\"":\""ORDER_RISK_RULE_NOTIONAL\"",\""error_code\"":\""ORDER_RISK_RULE_NOTIONAL\""}""}"
2026-07-09T01:58:35.982646+00:00,paper,False,PLACE,J6HA4EBQRQFJD2J6NQH0F7M649,0f148302d37042b79f985e178d4769dd,UNH,BUY,16,LIMIT,340.0,417,"{""error"": ""{\""message\"":\""ORDER_RISK_RULE_NOTIONAL\"",\""error_code\"":\""ORDER_RISK_RULE_NOTIONAL\""}""}"
2026-07-09T01:58:37.708653+00:00,paper,False,PLACE,J6HA4EBQRQFJD2J6NQH0F7M649,ef39f41e78b844c397ed0c64a9ff5031,UNH,BUY,8,LIMIT,340.0,417,"{""error"": ""{\""message\"":\""ORDER_RISK_RULE_NOTIONAL\"",\""error_code\"":\""ORDER_RISK_RULE_NOTIONAL\""}""}"
2026-07-09T01:58:45.756351+00:00,paper,False,PLACE,J6HA4EBQRQFJD2J6NQH0F7M649,7b4d4724f07346e69c5a3d4cb9d563e9,UNH,BUY,3,LIMIT,340.0,504,"{""error"": ""{\""error_code\"":\""GATEWAY_TIMEOUT\""}""}"
2026-07-09T01:59:08.392806+00:00,paper,False,PLACE,J6HA4EBQRQFJD2J6NQH0F7M649,97eb0d2ae0824612a19d717d66487ab1,UNH,BUY,3,LIMIT,340.0,417,"{""error"": ""{\""message\"":\""ORDER_RISK_RULE_NOTIONAL\"",\""error_code\"":\""ORDER_RISK_RULE_NOTIONAL\""}""}"
2026-07-09T01:59:12.104199+00:00,paper,False,PLACE,J6HA4EBQRQFJD2J6NQH0F7M649,6a4caf3b98914c5d8fb78df377b8069d,UNH,BUY,2,LIMIT,340.0,200,"{""client_order_id"": ""6a4caf3b98914c5d8fb78df377b8069d""}"
2026-07-09T01:59:15.853033+00:00,paper,False,CANCEL,J6HA4EBQRQFJD2J6NQH0F7M649,6a4caf3b98914c5d8fb78df377b8069d,,,,,,200,"{""client_order_id"": ""6a4caf3b98914c5d8fb78df377b8069d""}"
2026-07-09T02:00:07.336416+00:00,paper,False,PLACE,J6HA4EBQRQFJD2J6NQH0F7M649,5f707c6b69ef45b2867dfb2079b9236b,UNH,BUY,2,MARKET,,504,"{""error"": ""{\""error_code\"":\""GATEWAY_TIMEOUT\""}""}"
2026-07-09T02:01:05.986552+00:00,paper,False,PLACE,J6HA4EBQRQFJD2J6NQH0F7M649,48bb7a26837d4533a957117bbf106035,UNH,BUY,2,MARKET,,200,"{""client_order_id"": ""48bb7a26837d4533a957117bbf106035""}"
2026-07-09T19:05:48.890656+00:00,prod,False,PLACE_CONFIRM,,,,,,,,,confirmed via dashboard (user click)
2026-07-09T19:12:24.950331+00:00,prod,False,PLACE_CONFIRM,,,,,,,,,confirmed via dashboard (user click)
2026-07-09T19:12:25.259367+00:00,prod,False,PLACE,ROG00LK0LA8FBOUB8VDQ3IVI98,953b438432c445e59952cf05686de9fa,AAPL,SELL,6,MARKET,,200,"{""client_order_id"": ""953b438432c445e59952cf05686de9fa""}"
2026-07-14T17:00:12.775612+00:00,paper,False,PLACE,J6HA4EBQRQFJD2J6NQH0F7M649,bdd83b1e8ddc4b6a98e49e04a8e88264,NVDA,BUY,2,MARKET,,200,"{""client_order_id"": ""bdd83b1e8ddc4b6a98e49e04a8e88264""}"
2026-07-15T16:33:14.975454+00:00,paper,False,PLACE,J6HA4EBQRQFJD2J6NQH0F7M649,7332fa25555347f98cc44a2a7e495515,NVDA,SELL,2,MARKET,,200,"{""client_order_id"": ""7332fa25555347f98cc44a2a7e495515""}"
2026-07-15T17:20:11.552072+00:00,paper,False,PLACE,J6HA4EBQRQFJD2J6NQH0F7M649,db91b5590a3a4ff2a0a98e5df2fdc70a,NVDA,BUY,2,MARKET,,200,"{""client_order_id"": ""db91b5590a3a4ff2a0a98e5df2fdc70a""}"
2026-07-16T16:49:11.721095+00:00,paper,False,PLACE,J6HA4EBQRQFJD2J6NQH0F7M649,32979490b3c54048a045adbbd428c738,JPM,BUY,1,MARKET,,200,"{""client_order_id"": ""32979490b3c54048a045adbbd428c738""}"
2026-07-16T16:49:21.309891+00:00,paper,False,PLACE,J6HA4EBQRQFJD2J6NQH0F7M649,5075ed648e224a868643f40c2cef6d19,NVDA,SELL,2,MARKET,,504,"{""error"": ""{\""error_code\"":\""GATEWAY_TIMEOUT\""}""}"
2026-07-16T16:49:26.229819+00:00,paper,False,PLACE,J6HA4EBQRQFJD2J6NQH0F7M649,5e569fe4ca3c4430af965a7cb8760c0e,NVDA,SELL,2,MARKET,,417,"{""error"": ""{\""message\"":\""GENERATE_NEW_SHORT_POSITION\"",\""error_code\"":\""GENERATE_NEW_SHORT_POSITION\""}""}"
2026-07-16T16:50:13.280487+00:00,paper,False,PLACE,J6HA4EBQRQFJD2J6NQH0F7M649,d1f551b3a2d14a098a3abd2433c19ab4,NVDA,SELL,2,MARKET,,417,"{""error"": ""{\""message\"":\""GENERATE_NEW_SHORT_POSITION\"",\""error_code\"":\""GENERATE_NEW_SHORT_POSITION\""}""}"
2026-07-16T16:51:13.929291+00:00,paper,False,PLACE,J6HA4EBQRQFJD2J6NQH0F7M649,c937556865214a79bcbed0eefc482b93,NVDA,SELL,2,MARKET,,417,"{""error"": ""{\""message\"":\""GENERATE_NEW_SHORT_POSITION\"",\""error_code\"":\""GENERATE_NEW_SHORT_POSITION\""}""}"
2026-07-16T16:52:10.290207+00:00,paper,False,PLACE,J6HA4EBQRQFJD2J6NQH0F7M649,907f57fd558e4234882e109dd6c020fa,NVDA,SELL,2,MARKET,,417,"{""error"": ""{\""message\"":\""GENERATE_NEW_SHORT_POSITION\"",\""error_code\"":\""GENERATE_NEW_SHORT_POSITION\""}""}"
2026-07-16T16:53:09.484533+00:00,paper,False,PLACE,J6HA4EBQRQFJD2J6NQH0F7M649,73e989762a0545c6aadbb7ac0b522925,NVDA,SELL,2,MARKET,,417,"{""error"": ""{\""message\"":\""GENERATE_NEW_SHORT_POSITION\"",\""error_code\"":\""GENERATE_NEW_SHORT_POSITION\""}""}"
2026-07-16T16:54:09.566872+00:00,paper,False,PLACE,J6HA4EBQRQFJD2J6NQH0F7M649,b651fe73457b424aae25a09206ddb010,NVDA,SELL,2,MARKET,,417,"{""error"": ""{\""message\"":\""GENERATE_NEW_SHORT_POSITION\"",\""error_code\"":\""GENERATE_NEW_SHORT_POSITION\""}""}"
2026-07-16T16:55:11.624322+00:00,paper,False,PLACE,J6HA4EBQRQFJD2J6NQH0F7M649,207866d447c248e7881cbe2752076c3d,NVDA,SELL,2,MARKET,,417,"{""error"": ""{\""message\"":\""GENERATE_NEW_SHORT_POSITION\"",\""error_code\"":\""GENERATE_NEW_SHORT_POSITION\""}""}"
